stop_id,stop_name,stop_lat,stop_lon
638441,Batthyány sor,48.086961,20.730041
638442,Erkel Ferenc utca,48.068617,20.824073
638444,Diósgyőr városközpont,48.101845,20.688551
638445,Diósgyőr városközpont,48.101611,20.688450
638446,Szemere kert,48.105325,20.779883
638447,Szemere kert,48.105189,20.779235
638452,Tégla utca,48.055904,20.783970
638453,Tégla utca,48.055689,20.784429
638454,Villanyrendőr,48.102504,20.785163
638455,Villanyrendőr,48.102498,20.785806
638459,Y-híd,48.097832,20.802737
638460,Y-híd,48.097769,20.802857
638461,Kelet utca,48.065222,20.828304
638462,Szentgyörgy út,48.074522,20.779784
638463,Szentgyörgy út,48.075055,20.778350
638464,Szentgyörgy út,48.074434,20.778039
638465,Cementgyár,48.067611,20.791591
638466,Cementgyár,48.067598,20.791832
638467,Cementgyár,48.066837,20.791400
638470,Csermőke-Felső,48.089169,20.753452
638471,Csermőke-Felső,48.089415,20.753922
638472,Arborétum,48.095149,20.779350
638476,Lillafüred,48.094125,20.619590
638477,Tímár malom utca,48.100586,20.748222
638478,Tímár malom utca,48.100700,20.748624
638479,Petneházy utca,48.086629,20.790725
638480,Petneházy utca,48.086873,20.790795
638481,Aba utca,48.103865,20.755267
638482,Aba utca,48.103997,20.755063
638483,Pisztrángkeltető,48.116616,20.578896
638484,Pisztrángkeltető,48.116581,20.578843
638485,Bogáncs utca,48.066665,20.823012
638486,Knézich Károly utca,48.092715,20.781222
638489,Soltész Nagy Kálmán utca,48.102730,20.797218
638490,Soltész Nagy Kálmán utca,48.102798,20.796861
638491,"Bükkszentlászló, önkormányzat",48.077980,20.671097
638492,"Bükkszentlászló, önkormányzat",48.077933,20.671109
638493,Szigligeti tér,48.093843,20.788433
638494,Szigligeti tér,48.093938,20.787201
638495,Tanulmányi épület,48.081236,20.766973
638496,Komlóstető,48.076900,20.733763
638497,Újmassa-Őskohó,48.114266,20.587749
638498,Újmassa-Őskohó,48.114121,20.588115
638499,Egyetem,48.079090,20.771992
638500,Egyetem,48.079186,20.772101
638501,Erzsébet tér,48.102020,20.778079
638502,Erzsébet tér,48.102162,20.778376
638503,Sütő-tanya,48.120699,20.715504
638504,Sütő-tanya,48.121093,20.715423
638505,Tampere városrész,48.093004,20.778757
638506,Hengerész utca,48.077713,20.729120
638507,Hengerész utca,48.077924,20.728251
638508,Vasgyári Evangélikus Templom,48.095151,20.727293
638509,Vasgyári temető,48.089598,20.727454
638510,Vasgyári temető,48.090121,20.727893
638511,Hejőcsabai Gyógyszertár,48.072593,20.789300
638512,Hejőcsabai Gyógyszertár,48.073454,20.788083
638516,Sajószigeti út,48.117196,20.797351
638517,Sajószigeti út,48.116127,20.797843
638518,Bánát utca,48.093131,20.700891
638519,Bánát utca,48.092760,20.701512
638520,Turistapark,48.070058,20.758188
638521,Turistapark,48.070603,20.759352
638522,Diósgyőr városközpont,48.101761,20.688487
638523,Papírgyár,48.114253,20.662820
638524,Papírgyár,48.113902,20.663470
638525,AUCHAN-dél (Pesti út),48.057340,20.802607
638526,Egyetemi Kollégium,48.078445,20.770963
638527,Egyetemi Kollégium,48.078810,20.769637
638528,Zenta utca,48.099699,20.697004
638529,Zenta utca,48.099725,20.696621
638530,Majális-park,48.115741,20.658235
638531,Majális-park,48.115608,20.659284
638532,Majális-park,48.115272,20.658496
638533,"Miskolctapolca, strandfürdő",48.064032,20.750072
638534,"Miskolctapolca, strandfürdő",48.063981,20.750203
638536,Olvasztár utca,48.080549,20.726595
638538,Szent László utca,48.108749,20.778323
638539,Anna bánya,48.111983,20.718088
638540,Anna bánya,48.112241,20.718093
638541,Lórántffy Zsuzsanna utca,48.090661,20.710227
638542,Lórántffy Zsuzsanna utca,48.090583,20.710542
638543,Volán,48.101317,20.814889
638544,Volán,48.101518,20.815544
638545,Alföldi utca,48.089484,20.813600
638546,Bükkszentlászlói elágazás,48.068144,20.678510
638547,Bükkszentlászlói elágazás,48.068303,20.678353
638548,Kazinczy Ferenc Általános Iskola,48.086015,20.783309
638549,Kazinczy Ferenc Általános Iskola,48.085180,20.783572
638550,Homokbánya,48.111384,20.706935
638551,Homokbánya,48.111018,20.707336
638552,Magyar-tanya,48.137790,20.703796
638553,Magyar-tanya,48.138525,20.703498
638554,Lavotta utca,48.055747,20.789577
638555,Lavotta utca,48.056313,20.789147
638556,Felsőzsolca,48.095606,20.864979
638558,Malomszög utca,48.104473,20.769776
638559,Malomszög utca,48.104423,20.770147
638560,Zoltán utca,48.103189,20.747926
638561,Zoltán utca,48.103208,20.746840
638562,Csanyik-völgy,48.114152,20.652738
638563,Csanyik-völgy,48.113725,20.652201
638564,Mohostó utca,48.071499,20.828474
638565,Mohostó utca,48.071842,20.828059
638566,Wesselényi utca,48.101466,20.758569
638569,Wesselényi utca,48.101581,20.758520
638572,Repülőtér/BOSCH,48.128706,20.784949
638574,Repülőtér/BOSCH,48.128322,20.784320
638575,Repülőtér/BOSCH,48.128821,20.783616
638578,Harsányi utca,48.054084,20.798001
638579,Károly utca,48.102214,20.737287
638580,Károly utca,48.102319,20.737989
638581,Vörösmarty városrész,48.099724,20.793837
638582,Vörösmarty városrész,48.100093,20.791225
638583,Vörösmarty városrész,48.099326,20.792181
638584,Vörösmarty városrész,48.099533,20.792431
638585,Szirma Általános Iskola,48.074277,20.826303
638586,Szirma Általános Iskola,48.073993,20.826599
638588,Teleki utca,48.101569,20.774246
638589,Hejő-park,48.073470,20.774022
638590,Hejő-park,48.072981,20.774229
638591,Martinkertváros központ,48.092129,20.806822
638592,Martinkertváros központ,48.092337,20.806744
638593,Felsőzsolcai elágazás,48.106070,20.831587
638594,Felsőzsolcai elágazás,48.105865,20.831632
638595,Táncsics tér,48.099681,20.693983
638596,Táncsics tér,48.099869,20.693683
