route_id,trip_id,service_id,direction_id,shape_id
15187,2026956,5,1,74258
15187,2026958,5,0,74259
15187,2026959,5,1,74258
15187,2026960,5,0,74259
15187,2026961,5,1,74258
15187,2026963,5,0,74259
15187,2026964,5,1,74258
15187,2026966,5,0,74259
15187,2026967,5,1,74258
15187,2026968,5,0,74259
15187,2026969,5,1,74258
15187,2026970,5,0,74259
15187,2026971,5,1,74258
15187,2026973,5,0,74259
15187,2026974,5,1,74258
15187,2026975,5,0,74259
15187,2026976,5,1,74258
15187,2026978,5,0,74259
15187,2026979,5,1,74258
15187,2026999,5,0,74259
15187,2027000,5,1,74258
15187,2027009,5,0,74259
15187,2027010,5,1,74258
15187,2027019,5,0,74259
15187,2027020,5,1,74258
15168,2027105,2,0,133443
15168,2027107,2,1,133444
15168,2027108,2,0,136511
15168,2027109,2,1,133444
15168,2027110,2,0,133443
15168,2027111,2,1,133444
15168,2027112,2,0,133443
15168,2027113,2,1,133444
15168,2027115,2,0,133443
15168,2027116,2,1,133444
15168,2027117,2,0,133443
15168,2027119,2,1,133444
15168,2027120,2,0,133443
15168,2027121,2,1,133444
15168,2027122,2,0,133443
15168,2027123,2,1,133444
15168,2027124,2,0,133443
15168,2027127,2,1,133444
15168,2027128,2,0,133443
15168,2027130,2,1,133444
15168,2027137,2,0,133443
15168,2027139,2,1,133444
15168,2027142,2,0,133443
15168,2027143,2,1,133444
15168,2027147,2,0,133443
15168,2027149,2,1,133444
15168,2027151,2,0,133443
15168,2027152,2,1,133444
15168,2027154,2,0,133443
15168,2027155,2,1,133444
15168,2027157,2,0,133443
15168,2027158,2,1,133444
15168,2027160,2,0,133443
15168,2027161,2,1,133444
15168,2027162,2,0,133443
15168,2027163,2,1,133444
15168,2027165,2,0,133443
15168,2027166,2,1,133444
15168,2027167,2,0,133443
15168,2027168,2,1,133444
15168,2027169,2,0,133443
15168,2027170,2,1,133444
15168,2027171,2,0,133443
15168,2027172,2,1,133444
23901,2027435,5,0,75367
23901,2027437,5,0,75367
23901,2027438,5,1,75368
23901,2027440,5,0,75367
23901,2027441,5,1,75368
23901,2027443,5,0,75367
23901,2027444,5,1,75368
23901,2027446,5,0,75367
23901,2027447,5,1,75368
23901,2027449,5,0,75367
23901,2027452,5,1,75368
23901,2027453,5,0,75367
23901,2027454,5,0,75367
23901,2027456,5,1,75368
19293,2027498,2,1,75363
19293,2027500,2,1,75363
19293,2027502,2,1,75363
19293,2027504,2,0,75364
19293,2027506,8,0,75364
23901,2027509,5,0,75367
23901,2027510,8,1,75368
23901,2027511,8,0,75367
23905,2027513,2,1,75366
23905,2027514,2,1,75366
23905,2027515,2,0,124084
23905,2027517,2,0,124084
23905,2027518,2,1,75366
23905,2027519,2,0,124084
23905,2027521,2,1,75366
23905,2027524,2,0,75369
15178,2027557,2,0,127704
15178,2027558,2,1,127673
15178,2027559,2,0,127704
15178,2027560,2,1,127673
15178,2027561,2,0,127704
15178,2027562,2,1,127673
15178,2027577,2,0,127704
15178,2027578,2,1,127673
15178,2027582,2,0,127704
15178,2027584,2,1,127673
15178,2027586,2,0,127704
15178,2027587,2,1,127673
15178,2027589,2,0,127704
15178,2027590,2,1,127673
15178,2027592,2,0,127704
15178,2027593,2,1,127673
15178,2027603,2,0,127704
15178,2027605,2,1,127673
15172,2027677,11,1,74194
15172,2027678,11,0,74192
15172,2027679,11,1,74190
15172,2027682,11,1,74194
15172,2027685,11,0,74192
15172,2027686,11,1,74190
15172,2027687,11,0,74193
15172,2027689,11,0,74192
15172,2027691,11,0,74192
15172,2027692,11,1,74190
15172,2027693,11,1,74190
15172,2027694,11,0,74192
15172,2027695,11,0,74192
15172,2027696,11,0,74192
15172,2027697,11,1,74190
15172,2027698,11,0,74192
15172,2027699,11,1,74190
15172,2027700,11,1,74190
16364,2027701,11,0,154166
15172,2027702,11,0,74193
16364,2027705,11,0,154166
16364,2027708,11,0,154166
16364,2027710,11,0,154166
15172,2027712,11,1,74194
16364,2027714,11,0,154166
16364,2027716,11,0,154166
15172,2027719,11,0,74192
15172,2027720,11,1,74190
15172,2027721,11,0,74193
15172,2027722,11,1,74194
23904,2027723,5,0,154196
23904,2027724,5,1,154185
23904,2027726,5,1,154186
23904,2027727,5,0,154187
23904,2027728,5,1,154186
23904,2027729,5,0,154187
23904,2027730,5,1,154186
23904,2027731,5,0,154187
23904,2027734,5,0,154187
23904,2027735,5,1,154186
15172,2027738,11,0,74192
15172,2027739,11,0,74193
15172,2027740,11,0,74192
15172,2027741,11,1,74190
15172,2027742,11,0,74193
15172,2027744,11,0,74192
15172,2027746,11,1,74190
15172,2027747,11,1,74190
15172,2027748,11,1,74190
15172,2027749,11,1,74194
15172,2027750,11,0,74192
15172,2027751,11,1,74190
15172,2027752,11,0,74192
15172,2027753,11,1,74190
15172,2027754,11,0,74192
15172,2027755,11,1,74190
15172,2027756,11,0,74192
15172,2027757,11,1,74190
15172,2027758,11,0,74192
15172,2027759,11,1,74190
15172,2027760,11,0,74192
15172,2027761,11,1,74190
15172,2027762,11,0,74192
15172,2027763,11,1,74190
15172,2027764,11,0,74192
15172,2027765,11,1,74190
15172,2027766,11,0,74192
15172,2027767,11,1,74190
20274,2029690,1,1,81591
20274,2029794,1,1,81591
20274,2029808,1,1,81591
16364,2030638,14,1,154167
16364,2030639,14,1,154167
16364,2030640,14,1,154167
16364,2030641,14,1,154167
16364,2030642,14,1,154167
16364,2030643,14,1,154167
16364,2030646,14,1,154167
16364,2030647,14,1,154167
16364,2030648,14,1,154167
16364,2030653,14,1,154167
16364,2030654,14,1,154167
15242,2030707,10,0,74280
16364,2030710,11,1,154167
16364,2030713,11,1,154167
16364,2030716,11,1,154167
16364,2030717,11,1,154167
15242,2030718,10,1,74281
16364,2030719,11,1,154167
15242,2030720,10,0,74280
15242,2030721,10,1,74281
15242,2030722,10,0,74280
15242,2030723,10,1,74281
16364,2030724,11,1,154167
15242,2030725,10,0,74280
15242,2030726,10,1,74281
15242,2030727,10,0,74280
15242,2030728,10,1,74281
15242,2030729,10,0,74280
15242,2030730,10,1,74281
15242,2030731,10,0,74280
15242,2030732,10,1,74281
15242,2030733,10,0,74280
15242,2030734,10,1,74281
15242,2030735,10,0,74280
15242,2030736,10,1,74281
15242,2030737,10,0,74280
15242,2030738,10,1,74281
15242,2030739,10,0,74280
15242,2030740,10,1,74281
15242,2030741,10,0,74280
15242,2030742,10,1,74281
15242,2030743,10,0,74280
15242,2030744,10,1,74281
15242,2030745,10,0,74280
15242,2030746,10,1,74281
15242,2030747,10,0,74280
15242,2030748,10,1,74281
15242,2030749,10,0,74280
15242,2030750,10,1,74281
15242,2030751,10,0,74280
15242,2030752,10,1,74281
15242,2030753,10,0,74280
15242,2030754,10,1,74281
15242,2030755,10,0,74280
15242,2030756,10,1,74281
15192,2030768,10,0,74183
15192,2030771,10,1,74184
15192,2030772,10,0,74183
15192,2030773,10,1,74184
15192,2030775,10,1,74184
15192,2030776,10,0,74183
19292,2030778,1,0,90097
15192,2030780,10,0,74183
15192,2030781,10,1,74184
15192,2030782,10,0,74183
15192,2030783,10,1,74184
15192,2030784,10,0,74183
15192,2030785,10,1,74184
15192,2030786,10,0,74183
15192,2030787,10,1,74184
15192,2030788,10,0,74183
15192,2030789,10,1,74184
15192,2030790,10,0,74183
15192,2030791,10,1,74184
15192,2030792,10,0,74183
15192,2030793,10,1,74184
15192,2030794,10,0,74183
15192,2030795,10,1,74184
15192,2030796,10,0,74183
15192,2030797,10,1,74184
15192,2030798,10,0,74183
15192,2030799,10,1,74184
15192,2030800,10,0,74183
15192,2030801,10,1,74184
15192,2030802,10,0,74183
15192,2030803,10,1,74184
15192,2030805,10,0,74183
15192,2030806,10,1,74184
15192,2030807,10,0,74183
15192,2030808,10,1,74184
15192,2030809,10,0,74183
15192,2030810,10,1,74184
15192,2030811,10,0,74183
15192,2030812,10,1,74184
15192,2030813,10,0,74183
15192,2030814,10,1,74184
15192,2030815,10,0,74183
15192,2030816,10,1,74184
15192,2030817,10,0,74183
15192,2030818,10,1,74184
15192,2030819,10,0,74183
15192,2030820,10,1,74184
15192,2030821,10,0,74183
15192,2030822,10,1,74184
15192,2030823,10,0,74183
15192,2030824,10,1,74184
15192,2030825,10,0,74183
15192,2030826,10,1,74184
15192,2030843,10,0,74183
15192,2030844,10,1,74184
15192,2030846,17,0,74183
15192,2030849,17,1,74184
23903,2031113,2,0,88152
23903,2031115,2,0,88152
23903,2031117,2,0,88152
15486,2031122,2,1,84244
20274,2031836,1,1,81591
20274,2031843,1,0,81628
20274,2031844,1,0,81628
15176,2032344,5,0,84241
15176,2032345,5,1,74211
15176,2032422,5,0,84242
15176,2032423,5,1,74213
15176,2032424,5,0,84241
15176,2032425,5,1,74211
15176,2032426,5,0,84241
15176,2032427,5,1,74211
15176,2032428,5,0,84241
15176,2032429,5,1,74211
15176,2032430,5,0,84241
15176,2032431,5,1,74211
15176,2032432,5,0,84241
15176,2032433,5,1,74211
15176,2032434,5,0,84241
15176,2032435,5,1,74211
15176,2032436,5,0,84241
15176,2032437,5,1,74211
15176,2032438,5,0,84241
15176,2032439,5,1,74211
15176,2032440,5,0,84242
15176,2032442,5,1,74213
15176,2032443,5,0,84241
15176,2032444,5,1,74211
15176,2032445,5,0,84241
15176,2032446,5,1,74211
15176,2032447,5,0,84241
15176,2032448,5,1,74211
15176,2032449,5,0,84242
15176,2032450,5,1,74213
15176,2032451,5,0,84241
15176,2032452,5,1,74211
15176,2032453,5,0,84241
15176,2032454,5,1,74211
15176,2032455,5,0,84241
15176,2032456,5,1,74211
15176,2032457,5,0,84241
15176,2032458,5,1,74211
15800,2032513,5,0,74249
15800,2032514,5,1,74248
15800,2032515,5,0,74249
15800,2032516,5,1,74248
15800,2032517,5,0,74249
15800,2032518,5,1,74248
15800,2032519,5,0,74249
15800,2032520,5,1,74248
15800,2032521,5,0,74249
15800,2032522,5,1,74248
15800,2032523,5,0,74249
15800,2032524,5,1,74248
15800,2032525,5,0,74249
15800,2032526,5,1,74248
15800,2032527,5,0,74249
15800,2032528,5,1,74248
15800,2032529,5,0,74249
15800,2032530,5,1,74248
15800,2032531,5,0,74249
15800,2032532,5,1,154170
15800,2032535,5,0,74249
15800,2032536,5,1,74248
15800,2032537,5,0,74249
15800,2032538,5,1,74248
15800,2032539,5,0,74249
15800,2032540,5,1,74248
15800,2032541,5,0,74249
15800,2032542,5,1,74248
15800,2032575,5,0,74249
15800,2032576,5,1,74248
15800,2032577,5,0,74249
15800,2032582,5,1,74248
